County,FIPS code,County seat,Est.,Formed from,Etymology,Population (2019),Area,Map
Kittitas County,037,Ellensburg,1883,Yakima County,"Yakama word of uncertain meaning, with popular translations ranging from ""white chalk"" to ""land of the plenty""[25]","47,935","2,297 sq mi(5,949 km2)",
Klickitat County,039,Goldendale,1859,Walla Walla County,"Klickitat tribe, also meaning ""robber"" and ""beyond""[25]","22,425","1,872 sq mi(4,848 km2)",
Lewis County,041,Chehalis,1845,Clark County,"Meriwether Lewis (1774–1809), the co-captain of the Lewis and Clark Expedition[26]","80,707","2,408 sq mi(6,237 km2)",
Lincoln County,043,Davenport,1883,Whitman County,"Abraham Lincoln (1809–1865), 16th U.S. President[26]","10,939","2,311 sq mi(5,985 km2)",
Mason County,045,Shelton,1854,King County,"Charles H. Mason (1830–1859), 1st Secretary of Washington Territory[27]","66,768","961 sq mi(2,489 km2)",
Okanogan County,047,Okanogan,1888,Stevens County,"A Salish word meaning ""rendezvous""[28]","42,243","5,268 sq mi(13,644 km2)",
Pacific County,049,South Bend,1851,Lewis County,The Pacific Ocean[29],"22,036","975 sq mi(2,525 km2)",
Pend Oreille County,051,Newport,1911,Stevens County,"The Pend d'Oreille tribe, named by French traders for their ""ear bobs""[30]","13,724","1,400 sq mi(3,626 km2)",
Pierce County,053,Tacoma,1852,Thurston County,"Franklin Pierce (1804–1869), 14th U.S. President[30]","904,980","1,676 sq mi(4,341 km2)",
San Juan County,055,Friday Harbor,1873,Whatcom County,"San Juan Islands, itself derived from Juan Vicente de Güemes[31]","17,582",175 sq mi(453 km2),
Skagit County,057,Mount Vernon,1883,Whatcom County,The Skagit tribe[32],"129,205","1,735 sq mi(4,494 km2)",
Skamania County,059,Stevenson,1854,Clark County,"A Chinookan word meaning ""swift water""[32]","12,083","1,656 sq mi(4,289 km2)",
Snohomish County,061,Everett,1861,Island and King Counties,"The Snohomish tribe, word origin disputed[33]","822,083","2,090 sq mi(5,413 km2)",
Spokane County,063,Spokane,1879,Stevens County,"The Spokane tribe, meaning ""people of the sun""[34]","522,798","1,764 sq mi(4,569 km2)",
Stevens County,065,Colville,1863,Walla Walla County,"Isaac Stevens (1818–1862), 1st Governor of the Washington Territory[35]","45,723","2,478 sq mi(6,418 km2)",
Thurston County,067,Olympia,1852,Lewis County,"Samuel Thurston (1815–1851), the Oregon Territory's first delegate to U.S. Congress[36]","290,536","727 sq mi(1,883 km2)",
Wahkiakum County,069,Cathlamet,1854,Cowlitz County,"Wakaiakam, chief of the Kathlamet tribe[37]","4,488",264 sq mi(684 km2),
Walla Walla County,071,Walla Walla,1854,Skamania County,"The Walla Walla tribe, also a Nez Percé name for running water[37]","60,760","1,270 sq mi(3,289 km2)",
Whatcom County,073,Bellingham,1854,Island County,"Whatcom, chief of the Nooksack tribe and named for a Nooksack word meaning ""noisy water""[38]","229,247","2,120 sq mi(5,491 km2)",
Whitman County,075,Colfax,1871,Stevens County,"Marcus Whitman (1802–1847), a Methodist missionary[39]","50,104","2,159 sq mi(5,592 km2)",
Yakima County,077,Yakima,1865,Ferguson County (defunct),"The Yakama tribe, meaning ""runaway [waters]"" or ""big belly""[40]","250,873","4,296 sq mi(11,127 km2)",
