Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
IN,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,6637426,23,777,,,,625,2.6,1.39,3.88,0,246,3,0.98,5.86,0,261,2.8,0.77,5.05,0,288,5.5,0.72,15.45,1,867,2.5,1.57,3.55,0,1155,4,1.44,8.79,0,265497,95579,583430,true,true
KS,"Sep 9 - Sep 19, 2020",4,Statewide,Statewide,2908776,237,5,2.04,8.01,0,262,3.6,1.67,6.05,0,255,2.3,0.39,4.48,0,253,2.3,0.45,4.48,0,455,3.4,1.77,5.58,0,552,3.5,1.82,5.36,0,1007,3.5,2.31,4.84,0,101807,67193,140785,true,false
KY,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,4440204,188,4.1,1.14,7.6,0,275,4.8,2.22,7.63,0,250,2.5,0.62,4.74,0,267,1.5,0,3.42,1,404,5,2.67,7.52,0,576,2.4,1.12,4.02,0,980,3.6,2.33,5.21,0,159847,103457,231335,true,true
LA,"Sep 9 - Sep 19, 2020",4,Statewide,Statewide,4663616,200,15.1,9.78,21.76,0,254,15.5,10.87,21.5,0,248,8.4,4.52,12.9,0,250,4.8,1.91,8.22,0,370,11.8,8.05,16.83,0,582,13.1,9.57,16.89,0,952,12.5,10.02,15.61,0,582952,467294,727990,true,false
MA,"Sep 9 - Sep 15, 2020",4,Statewide,Statewide,6830193,247,5.3,2.31,8.46,0,249,5.2,2.27,8.41,0,247,1.4,0,3.23,0,245,0.6,0,1.95,1,434,3.1,1.28,5.55,0,554,4.2,2.3,6.44,0,988,3.7,2.23,5.16,0,252717,152313,352438,true,true
MD,"Sep 10 - Sep 23, 2020",4,Statewide,Statewide,6003435,96,11.5,5.26,18.5,0,393,13.5,9.92,17.33,0,433,6.4,4.06,8.95,0,320,3.6,1.81,5.81,0,676,12.7,9.66,15.94,0,566,7.8,4.76,11.01,0,1242,10.2,7.91,12.68,0,612350,474872,761236,true,false
ME,"Sep 8 - Sep 24, 2020",4,Statewide,Statewide,1332813,40,777,,,,380,0.8,0,1.66,0,246,0.4,0,1.1,1,321,0.4,0,1.09,1,377,0.2,0,0.73,1,610,0.7,0.15,1.41,0,987,0.5,0.09,0.87,0,6664,1200,11595,false,true
MI,"Sep 8 - Sep 22, 2020",4,Statewide,Statewide,9957488,206,7.3,3.8,11.09,0,283,3.3,1.37,5.55,0,247,1.9,0.35,3.83,0,244,1.9,0,3.96,0,434,2.4,0.87,4.24,0,546,4.9,2.86,6.99,0,980,3.7,2.54,4.93,0,368427,252920,490904,true,false
MN,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,5527358,85,10.6,1.68,21.27,0,392,8.7,4.27,14.25,0,310,6.4,3.18,10.9,0,246,4,1.76,6.66,0,428,8.5,3.9,13.28,0,605,7.5,3.69,12.69,0,1033,8,4.74,11.43,0,442189,261997,631777,true,false
MO,"Sep 8 - Sep 24, 2020",4,Statewide,Statewide,6090062,249,5.1,2.34,8.57,0,257,4.2,1.33,7.48,0,262,2.3,0.64,4.18,0,263,1.2,0,3.16,1,475,3.1,1.49,5.47,0,556,3.9,2,6.07,0,1031,3.5,2.15,5.01,0,213152,130936,305112,true,true
MS,"Sep 9 - Sep 22, 2020",4,Statewide,Statewide,2988762,30,777,,,,284,11.9,6.94,17.26,0,339,7.6,3.81,11.71,0,327,6.2,2.84,10.21,0,397,7.6,4.42,11.42,0,583,8.2,4.35,12.81,0,980,7.9,5.35,10.87,0,236112,159899,324878,true,false
MT,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,1041732,24,777,,,,162,0.8,0,3.09,1,164,3.3,0.73,7.47,0,158,2.3,0,5.39,1,177,2,0.31,4.49,0,331,2.5,0.33,6.41,1,508,2.2,0.67,4.38,0,22918,6980,45628,true,true
NC,"Sep 9 - Sep 17, 2020",4,Statewide,Statewide,10155624,184,10.1,5.68,16.04,0,247,8.4,4.58,12.59,0,247,4.4,1.76,7.37,0,247,0.4,0,1.39,1,392,6.9,3.93,10.07,0,533,6.7,4.38,9.36,0,925,6.8,4.83,8.87,0,690582,490517,900804,true,true
ND,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,752201,5,777,,,,44,777,,,,34,777,,,,30,777,,,,34,777,,,,79,2.4,0,6.98,1,113,1.2,0,3.4,1,9026,0,25575,false,true
NE,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,1904760,71,777,,,,396,5.1,2.82,7.46,0,260,7.5,4.43,11.16,0,249,6,3.21,9.08,0,506,6.5,3.76,9.77,0,470,7,4.24,10.2,0,976,6.7,4.8,8.88,0,127619,91428,169143,true,false
NH,"Sep 9 - Sep 17, 2020",4,Statewide,Statewide,1343622,51,777,,,,373,1.1,0.18,2.18,0,260,0.6,0,1.63,1,350,1.1,0,2.67,1,404,0.9,0.05,1.86,0,630,0.6,0.06,1.35,0,1034,0.7,0.26,1.32,0,9405,3493,17736,false,true
NJ,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,8881845,209,18.1,12.68,23.29,0,285,18.9,14.75,23.77,0,301,12,8.4,15.5,0,255,4.8,2.09,7.82,0,478,17.9,14.25,21.72,0,572,12.4,9.53,15.58,0,1050,15.1,12.65,17.63,0,1341159,1123553,1565869,true,false
NM,"Sep 8 - Sep 24, 2020",4,Statewide,Statewide,2092434,177,4,1.13,8.35,0,267,1.7,0.42,3.73,1,289,1.7,0.23,3.49,1,281,2.4,0.45,5.13,1,399,2.1,0.63,4.23,0,615,2.6,1.3,4.35,0,1014,2.4,1.19,3.65,0,50218,24900,76374,true,true
NV,"Sep 9 - Sep 12, 2020",4,Statewide,Statewide,2922849,230,6.3,3.13,9.91,0,249,9.8,5.96,14.45,0,250,9.2,5.7,13.38,0,250,2.5,0.78,4.69,0,379,8.3,5.4,11.77,0,600,7.2,4.86,9.99,0,979,7.8,5.9,9.99,0,227982,172448,291993,true,false
NY,"Sep 11 - Sep 24, 2020",4,Statewide,Statewide,19618453,305,21.4,16.82,26.39,0,282,17.2,13.15,21.68,0,301,16.5,12.1,20.83,0,280,11.2,7.66,14.59,0,539,16,12.51,19.44,0,629,18,14.96,21.24,0,1168,17,14.72,19.23,0,3335137,2887836,3772629,true,false
OH,"Sep 10 - Sep 22, 2020",4,Statewide,Statewide,11641879,100,4.9,0.85,9.91,0,278,2,0.44,3.77,0,271,2.1,0.36,4.05,0,329,3.1,1.15,5.27,0,438,3.1,1.26,5.21,0,540,2.6,1,4.62,0,978,2.8,1.69,4.16,0,325973,196748,484302,true,false
OK,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,3918137,245,7.1,3.68,10.91,0,245,5.5,2.77,8.59,0,245,3.8,1.44,6.85,0,245,1.6,0,3.65,1,399,3.7,1.68,6.04,0,581,6.2,3.93,8.52,0,980,5,3.44,6.54,0,195907,134784,256246,true,true
OR,"Sep 8 - Sep 22, 2020",4,Statewide,Statewide,4081943,117,5.2,1.65,9.92,0,255,1.7,0,4.05,1,328,2.1,0.7,4.09,0,271,2.5,0.52,4.97,0,408,2.9,1.05,5.21,0,563,2.4,0.93,4.18,0,971,2.6,1.51,4.06,0,106131,61637,165727,true,true
PA,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,12791181,36,777,,,,848,14.8,12.18,17.11,0,236,8.6,5.22,12.6,0,221,2.5,0.42,4.97,0,875,18.5,14.4,23.51,0,466,4.1,2.38,5.87,0,1341,11.1,8.85,13.71,0,1419821,1132020,1753671,true,false
PR,"Sep 8 - Sep 15, 2020",4,Statewide,Statewide,3386941,245,2.6,0.5,5.34,1,241,2.7,0.62,5.24,0,245,3.9,1.32,7.18,0,239,2.8,0.61,5.67,0,369,3.9,2,6.3,0,601,2.1,0.82,3.7,0,970,3,1.78,4.27,0,101608,60288,144622,true,true
RI,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,1056611,27,777,,,,263,1.7,0.32,3.77,0,253,4.1,1.73,6.76,0,252,1.6,0,3.31,0,348,3.9,1.05,8.15,0,447,1.5,0.54,2.69,0,795,2.7,1.15,4.91,0,28528,12151,51880,true,false
SC,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,4955925,81,9.6,3.2,17.53,0,308,10.4,6.69,14.54,0,304,3.9,1.6,6.46,0,282,3.9,1.68,6.34,0,446,8.9,5.65,12.93,0,529,6.8,4.2,9.92,0,975,7.8,5.58,10.19,0,386562,276541,505009,true,false
SD,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,864289,2,777,,,,48,777,,,,27,777,,,,22,777,,,,65,777,,,,34,777,,,,99,1.8,0,4.82,1,15557,0,41659,false,true
TN,"Sep 8 - Sep 16, 2020",4,Statewide,Statewide,6651089,253,10.8,7.19,15.29,0,258,6.8,3.5,10.78,0,257,5.8,3.27,9.01,0,260,1.7,0.33,3.57,1,443,7.4,4.67,10.56,0,585,6,3.87,8.39,0,1028,6.7,4.96,8.57,0,445623,329894,569998,true,true
TX,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,27885195,229,12.7,8.35,17.62,0,252,8.5,4.72,12.6,0,253,5.3,2.68,8.6,0,254,1.8,0.31,3.75,1,448,7.1,4.15,10.37,0,540,9.4,6.27,12.66,0,988,8.2,6.16,10.47,0,2286586,1717728,2919580,true,true
UT,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,3045350,46,777,,,,348,7.3,4.48,10.48,0,344,6.2,3.79,8.68,0,284,1.2,0,2.94,1,423,4.8,1.74,10.17,0,597,5.4,3.64,7.46,0,1022,5.1,3.29,7.9,0,155313,100192,240583,true,true
VA,"Sep 10 - Sep 23, 2020",4,Statewide,Statewide,8413774,25,777,,,,390,4.9,2.67,7.62,0,364,1.6,0.27,3.19,0,332,1.1,0.2,2.26,0,422,1.4,0.29,3.11,0,689,5,2.46,8.53,0,1111,3.2,1.81,5.13,0,269241,152289,431627,true,false
VT,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,624977,14,777,,,,203,0.4,0,1.59,1,176,0.6,0,2.24,1,104,2.4,0,5.68,1,195,0.8,0,1.97,1,302,2.7,0,7.64,1,497,1.7,0.27,4.15,1,10625,1687,25937,true,true
WA,"Sep 9 - Sep 22, 2020",4,Statewide,Statewide,7294336,125,4.2,0.88,8.66,0,283,2.2,0.51,4.46,0,287,1.1,0,2.68,1,273,2.5,0.68,4.75,0,428,2.9,1,5.55,0,540,2,0.84,3.57,0,968,2.5,1.29,3.83,0,182358,94097,279373,true,true
WI,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,5778394,44,777,,,,351,3.9,1.85,6.26,0,255,2.4,0.65,4.44,0,326,3.3,1.37,5.73,0,422,5.4,2.2,9.21,0,554,2.2,1.02,3.61,0,976,3.8,2.2,5.73,0,219579,127125,331102,true,false
WV,"Sep 9 - Sep 22, 2020",4,Statewide,Statewide,1829054,31,777,,,,329,1.9,0.37,3.84,0,307,1.7,0,3.7,0,301,1,0,2.35,1,445,1.8,0.48,3.24,0,523,0.8,0.1,1.82,0,968,1.3,0.51,2.18,0,23778,9328,39873,false,true
WY,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,581836,6,777,,,,38,777,,,,47,777,,,,20,777,,,,55,777,,,,56,777,,,,111,1.5,0,3.97,1,8728,0,23099,false,true
AK,"Sep 22 -  Oct 7, 2020",5,Statewide,Statewide,738516,22,777,,,,447,1.1,0.18,2.24,1,321,1.7,0.22,3.55,0,204,1.1,0,3.17,1,410,1,0.22,1.95,0,584,0.9,0.24,1.82,0,994,0.9,0.4,1.54,0,6647,2954,11373,false,true
AL,"Sep 21 -  Oct 7, 2020",5,Statewide,Statewide,4864680,112,14.1,7.51,21.82,0,243,9.6,5.45,13.54,0,250,6.4,3.59,9.93,0,337,3,1.14,5.09,0,398,9.2,5.66,12.8,0,544,8.7,5.73,12.13,0,942,8.9,6.58,11.38,0,432957,320096,553601,true,false
AR,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,2990671,193,4.1,1.34,7.38,0,267,4.7,2.07,7.49,0,235,3.1,0.95,5.92,0,234,4.7,1.84,7.89,0,396,3.6,1.56,5.69,0,533,4.9,2.99,7.12,0,929,4.3,2.78,5.74,0,128599,83141,171665,true,false
AZ,"Sep 22 -  Oct 7, 2020",5,Statewide,Statewide,6946685,12,777,,,,539,6.5,3.49,11.42,0,156,3.9,0.13,12.01,1,57,777,,,,72,777,,,,692,11.7,3.51,24.44,0,764,7.9,2.96,14.43,0,548788,205622,1002407,true,true
CA,"Sep 25 - Sep 30, 2020",5,Statewide,Statewide,39148760,245,7.9,4.12,11.93,0,244,3.7,1.22,6.52,0,245,1.9,0.34,3.86,0,245,1.8,0.27,3.93,0,421,4.1,2.11,6.51,0,558,4,2.12,6.34,0,979,4.1,2.61,5.64,0,1605099,1021783,2207990,true,false
CO,"Sep 24 -  Oct 7, 2020",5,Statewide,Statewide,5531141,228,3.6,1.54,6.26,0,243,2.8,0.87,5.43,0,241,3.7,0.6,8.91,1,239,1.6,0.28,3.46,0,407,2.3,0.7,4.33,0,544,3.7,1.65,6.48,0,951,3,1.7,4.54,0,165934,94029,251114,true,true
CT,"Sep 24 - Sep 30, 2020",5,Statewide,Statewide,3581504,245,3,0.86,5.52,0,248,2.8,0.8,5.13,0,246,2.5,0.73,4.52,0,245,1,0,2.33,0,430,1.6,0.29,3.26,0,554,3.4,1.85,5.2,0,984,2.5,1.47,3.8,0,89538,52648,136097,true,false
DC,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,684498,79,7.1,2,13.49,0,238,4,1.73,6.97,0,173,4.7,1.7,8.12,0,186,6.9,3.23,11.28,0,290,4.4,1.8,7.49,0,386,5.5,3.17,8.36,0,676,5,3.26,7.15,0,34225,22315,48942,true,false
DE,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,949495,71,777,,,,316,6.8,4,10.05,0,269,2.3,0.66,4.61,0,320,3.3,1.2,5.68,0,420,4.3,1.78,7.21,0,556,7.7,4.48,11.28,0,976,6,4.07,8.12,0,56970,38644,77099,true,false
FL,"Sep 25 - Sep 25, 2020",5,Statewide,Statewide,20598139,244,9.9,5.72,14.65,0,246,9.1,5.24,13.63,0,246,8,4.2,12.52,0,245,3.3,1.16,6.01,0,418,9.7,6.62,13.43,0,563,6.1,3.98,8.88,0,981,7.9,6.09,9.91,0,1627253,1254427,2041276,true,false
GA,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,10297484,228,13.9,7.83,20.79,0,250,11.8,7.35,17.11,0,246,7.8,4.65,11.91,0,255,2.7,0.7,5.03,0,428,9,5.29,13.33,0,551,11.7,8.09,16.27,0,979,10.4,7.68,13.1,0,1070938,790847,1348970,true,false
HI,"Sep 22 -  Oct 8, 2020",5,Statewide,Statewide,1422029,28,777,,,,157,0.8,0,2.44,1,164,6.4,0,51.47,1,226,0.7,0,2.15,1,208,0.2,0,0.67,1,367,3.3,0.14,20.86,1,575,1.7,0.1,10.5,1,24174,1422,149313,false,true
IA,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,3132499,58,777,,,,369,10.9,7.85,14.09,0,303,9.8,6.46,13.36,0,211,4.5,1.68,7.76,0,445,6.8,4.06,9.66,0,496,9.8,6.76,13.31,0,941,8.3,6.33,10.36,0,259997,198287,324527,true,false
ID,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,1687809,36,777,,,,341,6.1,3.33,9.16,0,312,2.8,0.68,5.74,0,288,2.1,0.4,4.28,0,366,3.4,1.47,5.95,0,611,6.3,2.96,10.76,0,977,4.9,2.73,7.17,0,82703,46077,121016,true,false
IL,"Sep 23 -  Oct 1, 2020",5,Statewide,Statewide,12821497,232,9.3,5.4,13.01,0,203,4.3,1.66,7.43,0,244,5.3,2.6,8.53,0,244,2.5,0.76,4.94,0,450,6.2,3.81,8.98,0,473,4.7,2.84,6.62,0,923,5.4,3.81,7.18,0,692361,488499,920583,true,false
IN,"Sep 21 -  Oct 7, 2020",5,Statewide,Statewide,6637426,13,777,,,,564,5.9,2.72,10.53,0,219,1.5,0.28,3.53,0,215,1.8,0.35,3.97,0,245,2.8,0.35,6.58,1,766,9.1,2.55,19.8,0,1011,6,2.14,12.02,0,398246,142041,797819,true,true
KS,"Sep 22 -  Oct 8, 2020",5,Statewide,Statewide,2908776,214,6.5,3.24,10.04,0,242,6.6,3.18,10,0,243,2.1,0.31,4.81,0,237,2.2,0.43,4.37,0,407,4.2,2.01,6.49,0,529,5.9,3.57,8.57,0,936,5,3.53,6.72,0,145439,102680,195470,true,false
KY,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,4440204,166,2.4,0.46,4.8,0,311,2.3,0.39,4.41,0,249,2.6,0.78,4.77,0,252,1.9,0.35,3.88,0,431,2,0.77,3.35,0,547,2.6,1.13,4.42,0,978,2.3,1.29,3.46,0,102125,57279,153631,true,false
LA,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,4663616,243,21.1,14.88,27.04,0,249,11,6.92,15.17,0,244,8.5,4.4,13.35,0,241,4.6,1.87,8.15,0,362,11.8,8.35,15.93,0,615,12.1,8.9,15.35,0,977,12,9.63,14.45,0,559634,449106,673893,true,false
MA,"Sep 25 -  Oct 1, 2020",5,Statewide,Statewide,6830193,245,6.6,3.59,10.19,0,246,1.8,0.33,3.8,0,249,2.6,0.62,5.16,0,248,0.9,0,2.29,1,434,2.7,1.18,4.82,0,554,2.8,1.5,4.29,0,988,2.8,1.76,4.04,0,191245,120211,275940,true,true
MD,"Sep 21 -  Oct 5, 2020",5,Statewide,Statewide,6003435,61,777,,,,305,16.5,12.61,21.15,0,329,8.1,5.18,11.64,0,363,1.8,0.37,3.48,0,613,13.3,10.25,16.83,0,445,6.6,3.83,9.86,0,1058,9.9,7.8,12.2,0,594340,468268,732419,true,false
ME,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,1332813,35,777,,,,364,0.7,0,1.58,0,251,1.1,0,3.48,1,261,0.1,0,0.57,1,361,0.6,0,1.78,1,550,0.5,0.08,1.13,0,911,0.5,0.08,1.16,0,6664,1066,15461,false,true
MI,"Sep 22 -  Oct 2, 2020",5,Statewide,Statewide,9957488,234,6.8,3.77,9.99,0,248,1.6,0,3.46,0,253,2.1,0.37,4.18,0,244,4.8,1.98,7.91,0,444,3.6,1.93,5.46,0,535,3.2,1.76,4.92,0,979,3.4,2.33,4.48,0,338555,232009,446095,true,false
MN,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,5527358,93,4.8,1.05,9.16,0,301,4.8,2.57,7.38,0,288,4.6,2.23,7.8,0,298,2.6,0.85,4.38,0,426,5.4,3.05,8.02,0,554,3.4,1.82,5.12,0,980,4.4,2.92,5.95,0,243204,161399,328878,true,false
MO,"Sep 21 -  Oct 2, 2020",5,Statewide,Statewide,6090062,237,6.9,3.99,10.56,0,242,7.2,3.67,11.32,0,246,5.7,2.66,9.22,0,240,1.8,0,3.86,0,398,6.1,3.68,8.91,0,567,5.8,3.36,8.41,0,965,5.9,4.19,8.12,0,359314,255174,494513,true,false
MS,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,2988762,40,777,,,,315,8.7,5,12.37,0,315,6.4,3.37,9.61,0,314,4.5,1.63,7.94,0,381,5.5,2.81,8.51,0,603,5.6,3.61,7.98,0,984,5.5,3.82,7.31,0,164382,114171,218479,false,false
MT,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,1041732,21,777,,,,253,2,0,4.19,0,220,1.3,0,2.94,1,212,0.8,0,2.61,1,294,4,0,11.16,1,412,1.4,0.39,2.79,0,706,2.7,0.6,6.52,1,28127,6250,67921,true,true
NC,"Sep 23 -  Oct 2, 2020",5,Statewide,Statewide,10155624,214,10.2,5.89,15.16,0,238,7.8,3.91,11.95,0,241,3.4,1.1,6.22,0,239,2.8,0.82,5.49,0,396,7.3,4.32,10.88,0,536,6.1,3.63,8.7,0,932,6.7,4.74,8.89,0,680427,481377,902835,true,false
ND,"Sep 23 -  Oct 5, 2020",5,Statewide,Statewide,752201,2,777,,,,30,777,,,,19,777,,,,10,777,,,,22,777,,,,39,777,,,,61,777,,,,,,,false,
NE,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,1904760,88,17.3,9,26.75,0,327,9.4,5.66,13.52,0,282,7.1,4.02,10.54,0,230,3.2,1.07,5.87,0,442,7.5,4.54,10.73,0,485,12.5,8.28,16.87,0,927,10,7.16,12.88,0,190476,136381,245333,true,false
NH,"Sep 25 -  Oct 1, 2020",5,Statewide,Statewide,1343622,45,777,,,,252,1.1,0,3.93,1,372,1.2,0.24,2.37,0,288,1.5,0.21,3.19,0,391,1.4,0.12,3.78,1,566,0.6,0.14,1.23,0,957,1,0.28,2.23,0,13436,3762,29963,false,true
NJ,"Sep 21 -  Oct 7, 2020",5,Statewide,Statewide,8881845,162,21.6,15.24,28.44,0,253,19.1,14.11,24.43,0,259,12.2,8.27,16.05,0,284,4.6,2.12,7.27,0,491,18.9,15.23,23.47,0,467,13.2,9.99,16.55,0,958,16,13.57,18.74,0,1421095,1205266,1664458,true,false
NM,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,2092434,157,5.4,1.65,10.24,0,274,3.8,1.67,6.58,0,275,2.2,0.61,4.23,0,273,1.7,0,3.75,1,404,3.3,1.22,5.74,0,575,3.8,1.99,5.88,0,979,3.6,2.29,5.07,0,75328,47917,106086,true,true
NV,"Sep 23 - Sep 26, 2020",5,Statewide,Statewide,2922849,245,10,5.28,14.9,0,245,8.1,4.73,12.2,0,245,7.7,4.4,11.64,0,245,3.8,1.29,6.45,0,392,7.2,4.23,9.84,0,588,8.5,5.71,11.78,0,980,7.8,5.85,9.94,0,227982,170987,290531,true,false
NY,"Sep 20 -  Oct 7, 2020",5,Statewide,Statewide,19618453,188,15.3,10.34,20.96,0,211,27.7,21.13,34.81,0,196,23.5,17.24,29.32,0,227,18.4,12.12,24.24,0,368,22.3,17.66,27.1,0,454,23.2,18.66,28.57,0,822,22.8,19.2,26.54,0,4473007,3766743,5206737,true,false
OH,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,11641879,144,2.5,0,5.51,1,270,3.5,1.26,5.98,0,274,1.6,0.31,3.26,0,288,0.5,0,1.45,1,412,2.3,0.68,4.12,0,564,2.5,0.97,4.12,0,976,2.4,1.26,3.64,0,279405,146688,423764,true,true
OK,"Sep 23 - Sep 29, 2020",5,Statewide,Statewide,3918137,235,7.9,4.35,12.49,0,248,5.6,2.64,9.65,0,244,2.6,0.7,4.95,0,252,5.3,2.4,9.15,0,366,5.7,2.91,8.72,0,613,5.5,3.51,7.79,0,979,5.6,3.78,7.36,0,219416,148106,288375,true,false
OR,"Sep 20 -  Oct 7, 2020",5,Statewide,Statewide,4081943,21,777,,,,369,1.2,0.29,2.7,0,249,2.1,0.55,4.52,0,333,0.9,0,2.03,1,421,4.5,0.74,10.99,1,551,0.5,0.11,1.02,0,972,2.5,0.57,5.68,1,102049,23267,231854,true,true
PA,"Sep 20 -  Oct 5, 2020",5,Statewide,Statewide,12791181,41,777,,,,736,13.4,10.84,15.82,0,291,7.5,4.55,10.92,0,187,2.2,0,4.95,1,866,15.8,12.27,19.85,0,389,5.8,2.16,11.1,0,1255,10.7,8.17,13.78,0,1368656,1045039,1762625,true,true
PR,"Sep 21 - Sep 28, 2020",5,Statewide,Statewide,3386941,245,1.3,0,3.17,1,245,3.9,1.26,7.1,0,245,3.8,1.34,7.56,0,245,3.1,1.03,6.17,0,386,4.3,2.01,7.06,0,594,2.2,0.96,3.64,0,980,3.2,1.88,4.71,0,108382,63674,159525,true,true
RI,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,1056611,32,777,,,,317,3.9,1.78,6.34,0,263,4.7,2.24,7.71,0,252,2.9,0.82,5.37,0,350,2.5,0.96,4.39,0,514,5.8,3.09,9.31,0,864,4.2,2.57,6.27,0,44378,27155,66250,true,false
SC,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,4955925,80,11.9,4.94,19.89,0,211,10.7,6.3,15.82,0,261,7.2,3.75,11.18,0,264,3.4,1.17,6.3,0,369,7,4.11,10.93,0,447,11,7.08,15.6,0,816,9.1,6.39,11.78,0,450989,316684,583808,true,false
SD,"Sep 22 -  Oct 4, 2020",5,Statewide,Statewide,864289,6,777,,,,29,777,,,,18,777,,,,19,777,,,,42,777,,,,30,777,,,,72,777,,,,,,,false,
TN,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,6651089,240,13.3,8.87,18.78,0,245,11.1,6.49,16.05,0,241,4,1.56,7.35,0,250,3.9,1.48,6.59,0,433,9.2,6.16,12.92,0,543,9,5.72,12.15,0,976,9.1,6.83,11.4,0,605249,454269,758224,true,false
TX,"Sep 23 -  Oct 5, 2020",5,Statewide,Statewide,27885195,249,8.7,5.34,12.91,0,240,7.9,4.25,12.45,0,244,4.8,2.38,7.75,0,248,4.6,1.86,8.07,0,455,7.6,4.67,11.03,0,526,6.8,3.98,9.93,0,981,7.2,5.19,9.56,0,2007734,1447242,2665825,true,false
UT,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,3045350,66,777,,,,418,5.4,3.25,7.93,0,233,6.2,2.62,10.28,0,220,2.9,1.09,5.35,0,348,2.8,1.12,4.86,0,589,7.8,4.85,11.3,0,937,5.3,3.61,7.31,0,161404,109937,222615,true,false
VA,"Sep 21 -  Oct 5, 2020",5,Statewide,Statewide,8413774,13,777,,,,284,7.2,4,10.86,0,262,1.7,0.33,3.6,0,340,0.6,0,1.66,1,334,3.8,1.37,6.88,0,565,6.3,2.23,13.56,0,899,5,2.34,9.26,0,420689,196882,779115,true,true
VT,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,624977,10,777,,,,222,0.6,0,1.98,1,140,0,0,2.6,2,142,1.3,0,4.4,1,159,0.4,0,1.47,1,355,0.6,0,1.7,1,514,0.5,0,1.19,1,3125,0,7437,false,true
WA,"Sep 22 -  Oct 8, 2020",5,Statewide,Statewide,7294336,140,2.7,0,6.08,1,307,2.4,0.82,4.42,0,241,2.9,0.92,5.7,0,336,0.7,0,1.82,1,433,2.2,0.71,4.06,0,591,2.4,1.01,4.07,0,1024,2.3,1.25,3.6,0,167770,91179,262596,true,true
